,Accuracy,Precision,Sensitivity,Specificity,F1-Score,Acc_Wake,Acc_Sleep,Acc_NREM,Acc_REM,Acc_Light,Acc_Deep
RF_2cls,79.54%,72.39%,72.05%,72.05%,79.46%,57.29%,86.80%,,,,
KNN_2cls,80.31%,73.72%,69.39%,69.39%,79.33%,47.87%,90.90%,,,,
XGBOOST_2cls,81.28%,75.40%,70.44%,70.44%,80.27%,49.09%,91.79%,,,,
SVM_2cls,76.01%,69.44%,72.88%,72.88%,76.98%,66.72%,79.04%,,,,
RF_3cls,71.89%,63.68%,62.96%,81.16%,71.84%,58.16%,,80.47%,50.24%,,
KNN_3cls,73.33%,67.55%,58.46%,79.39%,71.86%,47.87%,,88.27%,39.24%,,
XGBOOST_3cls,75.52%,74.63%,60.21%,80.60%,74.07%,53.55%,,89.80%,37.29%,,
SVM_3cls,58.21%,53.75%,61.47%,79.43%,61.21%,61.70%,,55.48%,67.24%,,
RF_4cls,70.38%,64.02%,64.23%,86.16%,70.38%,60.08%,,,50.86%,77.82%,68.16%
KNN_4cls,70.96%,64.67%,58.17%,84.67%,69.64%,48.02%,,,39.61%,85.89%,59.18%
XGBOOST_4cls,73.68%,75.60%,58.90%,85.53%,72.25%,53.14%,,,37.53%,88.75%,56.18%
SVM_4cls,51.35%,45.45%,63.34%,83.60%,54.09%,59.88%,,,64.06%,44.03%,85.39%
